station_abbr;reference_timestamp;ths200dn;ths200dx;ths200d0;th9120dv;th91dndv;th91dxdv
BAS;05.01.1979 00:00;-12.8;-5.5;-9.2;-11.4;-12.4;-10.4
BAS;06.01.1979 00:00;-8.3;-4.3;-6.7;-8.9;-7.9;-9.2
BAS;07.01.1979 00:00;-7.1;-1.6;-4.2;-6.4;-6.7;-6.5
BAS;08.01.1979 00:00;-6.9;1.4;-2.2;-4.4;-6.5;-3.5
BAS;09.01.1979 00:00;-0.2;3.9;1.9;-0.3;0.2;-1
BAS;10.01.1979 00:00;-1.2;6.2;2.7;0.5;-0.8;1.3
BAS;11.01.1979 00:00;0.2;2.5;1.9;-0.3;0.7;-2.4
BAS;12.01.1979 00:00;-0.4;1.7;0.6;-1.6;0.1;-3.2
BAS;13.01.1979 00:00;-1.5;0.5;-0.6;-2.8;-1;-4.5
BAS;14.01.1979 00:00;-3.7;0.3;-1.8;-4;-3.2;-4.7
BAS;15.01.1979 00:00;-9.8;-1.6;-5.9;-8.1;-9.3;-6.6
BAS;16.01.1979 00:00;-10.6;-6.1;-8.2;-10.4;-10.1;-11.1
BAS;17.01.1979 00:00;-7;-1.1;-4.5;-6.7;-6.5;-6.1
BAS;18.01.1979 00:00;-5.7;-2.8;-4.4;-6.6;-5.2;-7.8
BAS;19.01.1979 00:00;-7.1;-0.6;-4.1;-6.3;-6.5;-5.7
BAS;20.01.1979 00:00;-4.3;1.1;-0.8;-3;-3.7;-4
BAS;21.01.1979 00:00;-1.1;0.5;-0.3;-2.5;-0.5;-4.6
BAS;22.01.1979 00:00;-2.1;1.7;-0.6;-2.8;-1.5;-3.5
BAS;23.01.1979 00:00;-0.5;7.2;2.9;0.7;0.1;2
BAS;24.01.1979 00:00;-0.7;4.7;1.7;-0.5;-0.1;-0.5
BAS;25.01.1979 00:00;-4.3;1.8;-1.3;-3.5;-3.7;-3.5
BAS;26.01.1979 00:00;-4.9;0.8;-2.1;-4.3;-4.3;-4.5
BAS;27.01.1979 00:00;-0.1;2.3;0.9;-1.3;0.5;-3.1
BAS;28.01.1979 00:00;0.1;1.5;1;-1.2;0.7;-3.9
BAS;29.01.1979 00:00;-0.5;4.4;1.2;-1;0.1;-1
BAS;30.01.1979 00:00;0.7;5.9;2.7;0.5;1.3;0.4
BAS;31.01.1979 00:00;0.7;2.8;1.4;-0.9;1.3;-2.7
BAS;01.02.1979 00:00;-4.9;8.3;-1.2;-3.5;-4.3;2.6
BAS;02.02.1979 00:00;0.8;11.1;8.1;5.8;1.4;5.4
BAS;03.02.1979 00:00;1.1;4;2.6;0.3;1.7;-1.8
BAS;04.02.1979 00:00;2.4;7.6;4.6;2.2;3;1.7
BAS;05.02.1979 00:00;3.9;8.2;6.3;3.9;4.5;2.3
BAS;06.02.1979 00:00;-0.3;2.4;0.7;-1.7;0.3;-3.6
BAS;07.02.1979 00:00;0.9;9.1;3.3;0.8;1.5;3
BAS;08.02.1979 00:00;0.5;10.3;5.4;2.9;1;4.1
BAS;09.02.1979 00:00;0.1;6.9;3.6;1;0.6;0.6
BAS;10.02.1979 00:00;0.8;4;1.7;-1;1.3;-2.4
BAS;11.02.1979 00:00;1.4;4.2;3;0.3;1.8;-2.3
BAS;12.02.1979 00:00;2.2;12.6;6.9;4.1;2.6;6
BAS;13.02.1979 00:00;4.7;11;7;4.1;5;4.3
BAS;14.02.1979 00:00;5.9;10.1;8.1;5.2;6.2;3.3
BAS;15.02.1979 00:00;0.5;9.2;3.6;0.6;0.7;2.3
BAS;16.02.1979 00:00;-1.2;0.1;-0.5;-3.6;-1;-7
BAS;17.02.1979 00:00;-2.6;0;-1.3;-4.5;-2.5;-7.2
BAS;18.02.1979 00:00;-1.8;-0.1;-0.8;-4.1;-1.7;-7.4
BAS;19.02.1979 00:00;-0.8;1;0;-3.4;-0.8;-6.5
BAS;20.02.1979 00:00;-0.6;1.9;0.4;-3.1;-0.7;-5.7
BAS;21.02.1979 00:00;0.8;3.6;2;-1.6;0.6;-4.2
BAS;22.02.1979 00:00;0.7;3.3;1.9;-1.8;0.5;-4.6
BAS;23.02.1979 00:00;-0.6;1.6;0.7;-3.2;-0.9;-6.5
BAS;24.02.1979 00:00;-1.7;4.1;0.8;-3.2;-2.1;-4.1
BAS;25.02.1979 00:00;-2.1;3.4;0.7;-3.4;-2.6;-5
BAS;26.02.1979 00:00;-4.8;4.2;-0.6;-4.9;-5.4;-4.3
BAS;27.02.1979 00:00;-4.5;5.3;0;-4.4;-5.2;-3.4
BAS;28.02.1979 00:00;-4.1;8.3;1.2;-3.4;-4.9;-0.6
BAS;01.03.1979 00:00;1.8;5.8;3.3;-1.7;0.6;-3.6
BAS;02.03.1979 00:00;-1.6;9.1;3.2;-1.9;-2.9;-0.5
BAS;03.03.1979 00:00;3.3;10.8;6.7;1.4;1.9;1.1
BAS;04.03.1979 00:00;7;10.7;8.7;3.3;5.5;0.8
BAS;05.03.1979 00:00;4.8;7.8;5.7;0.1;3.2;-2.3
BAS;06.03.1979 00:00;4.1;11.2;7.1;1.4;2.4;0.9
BAS;07.03.1979 00:00;5.3;10.4;7.8;1.9;3.5;0
BAS;08.03.1979 00:00;2.1;8.6;4.9;-1.1;0.2;-2
BAS;09.03.1979 00:00;-1;11.2;5;-1.1;-3;0.5
BAS;10.03.1979 00:00;2.4;8.9;3.8;-2.5;0.3;-2
BAS;11.03.1979 00:00;2;11.8;9.3;2.9;-0.2;0.7
BAS;12.03.1979 00:00;9.2;12.6;11;4.5;6.9;1.4
BAS;13.03.1979 00:00;9.2;14.8;11;4.3;6.8;3.4
BAS;14.03.1979 00:00;4.1;14.2;8.8;2;1.6;2.7
BAS;15.03.1979 00:00;6.5;9.9;7.9;1;4;-1.8
BAS;16.03.1979 00:00;2.5;7.6;4.5;-2.6;-0.1;-4.2
BAS;17.03.1979 00:00;0.8;8.5;3.9;-3.3;-1.9;-3.5
BAS;18.03.1979 00:00;2.7;10.8;5.9;-1.4;-0.1;-1.4
BAS;19.03.1979 00:00;0.2;9.4;5;-2.4;-2.7;-2.9
BAS;20.03.1979 00:00;3.5;8.9;5.5;-2;0.5;-3.6
BAS;21.03.1979 00:00;2.1;11.1;5.4;-2.3;-1;-1.5
BAS;22.03.1979 00:00;2.6;10;6;-1.8;-0.6;-2.7
BAS;23.03.1979 00:00;4.4;8.6;6.4;-1.5;1.1;-4.3
BAS;24.03.1979 00:00;1.8;10.8;6.2;-1.8;-1.5;-2.2
BAS;25.03.1979 00:00;5.1;13;7.2;-0.9;1.7;-0.2
BAS;26.03.1979 00:00;7.5;17.1;11.4;3.1;4;3.8
BAS;27.03.1979 00:00;3.5;13.2;8.2;-0.2;-0.1;-0.3
BAS;28.03.1979 00:00;4.4;10.2;6.4;-2.1;0.7;-3.4
BAS;29.03.1979 00:00;2.3;6.3;4;-4.6;-1.4;-7.4
BAS;30.03.1979 00:00;2.7;7.5;4.5;-4.2;-1.1;-6.4
BAS;31.03.1979 00:00;2.3;5.7;3.8;-5;-1.6;-8.3
BAS;01.04.1979 00:00;1.1;10.2;5.6;-3.4;-2.9;-4.1
BAS;02.04.1979 00:00;5.2;11.5;7.5;-1.6;1.1;-2.9
BAS;03.04.1979 00:00;3;10.3;5.7;-3.5;-1.2;-4.3
BAS;04.04.1979 00:00;1.6;10.7;4.4;-4.9;-2.7;-4
BAS;05.04.1979 00:00;0.4;4.4;2.2;-7.3;-4;-10.4
BAS;06.04.1979 00:00;0.7;5.8;2.6;-7;-3.8;-9.2
BAS;07.04.1979 00:00;0.3;8.3;4.3;-5.4;-4.3;-6.8
BAS;08.04.1979 00:00;-0.7;13.8;6.3;-3.5;-5.4;-1.5
BAS;09.04.1979 00:00;3.8;18.3;9.9;0;-1;2.9
BAS;10.04.1979 00:00;6.9;20.2;13.3;3.3;2.1;4.7
BAS;11.04.1979 00:00;6.6;13.9;9.6;-0.5;1.7;-1.7
BAS;12.04.1979 00:00;7.8;15.5;11;0.7;2.8;-0.3
BAS;13.04.1979 00:00;4.5;18.3;11.3;0.9;-0.7;2.4
BAS;14.04.1979 00:00;4.8;20.1;12.6;2.1;-0.5;4.1
BAS;15.04.1979 00:00;5.8;20.1;12;1.4;0.4;3.9
BAS;16.04.1979 00:00;5.3;19.3;10.9;0.2;-0.2;3
BAS;17.04.1979 00:00;4;9;5.9;-5;-1.6;-7.4
BAS;18.04.1979 00:00;3.5;5.4;4.4;-6.6;-2.2;-11.1
BAS;19.04.1979 00:00;0.2;9.6;4.9;-6.2;-5.6;-7.1
BAS;20.04.1979 00:00;0;13.7;7.1;-4.1;-5.9;-3.1
BAS;21.04.1979 00:00;4.7;11.5;8.3;-3;-1.4;-5.4
BAS;22.04.1979 00:00;4.7;14.5;9.4;-2.1;-1.5;-2.5
BAS;23.04.1979 00:00;9.5;13.8;12.1;0.5;3.2;-3.4
BAS;24.04.1979 00:00;5.7;12.5;8.6;-3.1;-0.7;-4.8
BAS;25.04.1979 00:00;5.3;11.3;7.4;-4.4;-1.3;-6.1
BAS;26.04.1979 00:00;3.9;12.5;7.4;-4.6;-2.8;-5
BAS;27.04.1979 00:00;4.8;7.5;5.7;-6.4;-2;-10.1
BAS;28.04.1979 00:00;4.5;9.5;6.6;-5.6;-2.5;-8.3
BAS;29.04.1979 00:00;1.6;13.7;8;-4.3;-5.5;-4.2
BAS;30.04.1979 00:00;6.5;10.6;8.2;-4.3;-0.7;-7.4
BAS;01.05.1979 00:00;4.7;10.2;6.8;-5.9;-2.8;-8
BAS;02.05.1979 00:00;3.1;9.1;4.5;-8.4;-4.6;-9.2
BAS;03.05.1979 00:00;0.1;10.6;4.7;-8.3;-7.7;-7.9
BAS;04.05.1979 00:00;2.1;7.3;3.8;-9.3;-5.8;-11.3
BAS;05.05.1979 00:00;-0.9;9.7;3.3;-9.9;-9;-9
BAS;06.05.1979 00:00;0.5;11.9;5.8;-7.6;-7.7;-6.9
BAS;07.05.1979 00:00;0.1;15.2;7.6;-5.9;-8.2;-3.7
BAS;08.05.1979 00:00;0.1;19.1;10.4;-3.2;-8.4;0.1
BAS;09.05.1979 00:00;3.9;21;12.7;-1;-4.7;1.8
BAS;10.05.1979 00:00;8.9;18.5;14;0.1;0.2;-0.8
BAS;11.05.1979 00:00;3.9;16;10.4;-3.6;-5;-3.4
BAS;12.05.1979 00:00;10.3;19.7;15.2;1.1;1.3;0.2
BAS;13.05.1979 00:00;7.2;19.6;13.8;-0.4;-1.9;0
BAS;14.05.1979 00:00;7.6;23.1;15.5;1.1;-1.7;3.4
BAS;15.05.1979 00:00;8.5;24.5;16.7;2.2;-0.9;4.6
BAS;16.05.1979 00:00;11.6;25.8;18.8;4.2;2.1;5.8
BAS;17.05.1979 00:00;12;17;14;-0.7;2.3;-3.1
BAS;18.05.1979 00:00;10.7;20.2;14.1;-0.8;0.9;0
BAS;19.05.1979 00:00;11.3;17.4;13.7;-1.3;1.4;-2.9
BAS;20.05.1979 00:00;12;18;14.3;-0.8;2;-2.5
BAS;21.05.1979 00:00;5.7;20.6;13.6;-1.6;-4.5;0
BAS;22.05.1979 00:00;11.6;19.9;14.3;-1;1.3;-0.8
BAS;23.05.1979 00:00;12.1;24.4;18.4;2.9;1.7;3.6
BAS;24.05.1979 00:00;7.2;11.1;9.1;-6.5;-3.3;-9.9
BAS;25.05.1979 00:00;7.5;18.6;12.9;-2.8;-3.2;-2.5
BAS;26.05.1979 00:00;10.7;22.9;16.8;1;-0.1;1.7
BAS;27.05.1979 00:00;9.9;15;11.3;-4.7;-1;-6.3
BAS;28.05.1979 00:00;7.3;23.3;15.7;-0.4;-3.7;1.8
BAS;29.05.1979 00:00;13.2;28.7;20.9;4.7;2;7.1
BAS;30.05.1979 00:00;13.5;28.4;18.7;2.4;2.2;6.7
BAS;31.05.1979 00:00;13;28.8;21.3;4.9;1.6;7
BAS;01.06.1979 00:00;16.1;24.5;19.7;3;4.4;2.4
BAS;02.06.1979 00:00;16.7;26.1;19.7;2.9;4.9;3.9
BAS;03.06.1979 00:00;15.8;27.1;19.7;2.8;3.9;4.7
BAS;04.06.1979 00:00;14.9;27;21.4;4.3;2.9;4.5
BAS;05.06.1979 00:00;15.8;22.7;18.3;1.1;3.7;0.1
BAS;06.06.1979 00:00;14.1;17.4;15.2;-2.1;1.8;-5.3
BAS;07.06.1979 00:00;12.1;18.2;14.4;-3;-0.3;-4.7
BAS;08.06.1979 00:00;9.9;20;15.1;-2.4;-2.6;-3
BAS;09.06.1979 00:00;8.8;24.1;17;-0.6;-3.8;1
BAS;10.06.1979 00:00;12.2;25.9;18.3;0.6;-0.5;2.7
BAS;11.06.1979 00:00;13.5;25.6;18.2;0.4;0.7;2.3
BAS;12.06.1979 00:00;13.8;26.9;18.7;0.8;0.9;3.5
BAS;13.06.1979 00:00;14.5;21.4;17.8;-0.2;1.5;-2.1
BAS;14.06.1979 00:00;10.9;19.6;14.8;-3.3;-2.2;-4
BAS;15.06.1979 00:00;10.7;16.3;11.9;-6.3;-2.5;-7.4
BAS;16.06.1979 00:00;6.6;15.3;10.4;-7.9;-6.6;-8.5
BAS;17.06.1979 00:00;10.1;17.5;13.1;-5.3;-3.2;-6.4
BAS;18.06.1979 00:00;10.5;17.3;12.2;-6.3;-2.9;-6.7
BAS;19.06.1979 00:00;8.6;18;13.3;-5.3;-4.9;-6.1
BAS;20.06.1979 00:00;10;23;16.1;-2.6;-3.6;-1.2
BAS;21.06.1979 00:00;11.6;25.3;18.7;-0.1;-2;1
BAS;22.06.1979 00:00;14.6;18.6;16.2;-2.7;0.9;-5.8
BAS;23.06.1979 00:00;11.8;24.6;18.3;-0.6;-2;0.1
BAS;24.06.1979 00:00;14.1;21.8;16.9;-2.1;0.2;-2.8
BAS;25.06.1979 00:00;13.1;21.5;17;-2.1;-0.8;-3.1
BAS;26.06.1979 00:00;13.2;25.8;19.9;0.7;-0.8;1.1
BAS;27.06.1979 00:00;13.4;18.4;16.8;-2.4;-0.6;-6.4
BAS;28.06.1979 00:00;15.9;23.7;19.5;0.2;1.8;-1.2
BAS;29.06.1979 00:00;12.8;24.8;18.9;-0.5;-1.4;-0.1
BAS;30.06.1979 00:00;13.4;20.9;16.9;-2.5;-0.8;-4.1
BAS;01.07.1979 00:00;12;18.1;14.9;-4.7;-2.3;-7
BAS;02.07.1979 00:00;10.6;16.9;13.2;-6.4;-3.8;-8.3
BAS;03.07.1979 00:00;7.8;13.5;9.7;-10;-6.6;-11.8
BAS;04.07.1979 00:00;9.1;18.6;13.8;-6;-5.4;-6.7
BAS;05.07.1979 00:00;9.5;23.4;16.6;-3.2;-5;-2
BAS;06.07.1979 00:00;11.8;24.7;18;-1.9;-2.7;-0.7
BAS;07.07.1979 00:00;11.4;24.6;18.6;-1.3;-3.2;-0.9
BAS;08.07.1979 00:00;16;20.5;17.7;-2.3;1.4;-5
BAS;09.07.1979 00:00;11.8;24.8;18.2;-1.8;-2.9;-0.8
BAS;10.07.1979 00:00;16.1;22.5;18.5;-1.5;1.4;-3.1
BAS;11.07.1979 00:00;8.4;25.8;18.1;-2;-6.3;0.1
BAS;12.07.1979 00:00;16.2;23.8;18.5;-1.6;1.4;-1.9
BAS;13.07.1979 00:00;15.6;23.7;18.9;-1.3;0.8;-2.1
BAS;14.07.1979 00:00;13.8;21;16.8;-3.4;-1.1;-4.8
BAS;15.07.1979 00:00;12.2;24.4;17.9;-2.3;-2.7;-1.4
BAS;16.07.1979 00:00;11.5;22.6;17.4;-2.9;-3.4;-3.3
BAS;17.07.1979 00:00;13.9;21.7;17.9;-2.4;-1.1;-4.2
BAS;18.07.1979 00:00;13;27.9;20.2;-0.1;-2;1.9
BAS;19.07.1979 00:00;15.5;27.1;21.6;1.2;0.5;1.1
BAS;20.07.1979 00:00;16.2;23.6;19.6;-0.8;1.1;-2.4
BAS;21.07.1979 00:00;11.7;21.8;17.6;-2.8;-3.4;-4.2
BAS;22.07.1979 00:00;12.5;19.2;15.8;-4.6;-2.6;-6.9
BAS;23.07.1979 00:00;7.4;21.8;15;-5.5;-7.8;-4.3
BAS;24.07.1979 00:00;10.7;22.3;16.7;-3.8;-4.5;-3.8
BAS;25.07.1979 00:00;10.6;25.1;17.8;-2.7;-4.6;-1
BAS;26.07.1979 00:00;12;27.2;20.2;-0.3;-3.3;1.1
BAS;27.07.1979 00:00;12.8;29;21.6;1.1;-2.5;2.8
BAS;28.07.1979 00:00;14.6;29.4;22.3;1.8;-0.7;3.2
BAS;29.07.1979 00:00;16.9;30.1;24;3.4;1.6;3.9
BAS;30.07.1979 00:00;16.5;26.6;21.1;0.5;1.1;0.4
BAS;31.07.1979 00:00;16.1;24.1;19.5;-1.1;0.7;-2.1
BAS;01.08.1979 00:00;16.9;26.3;20.6;0;1.5;0.1
BAS;02.08.1979 00:00;15;27.6;20.3;-0.3;-0.4;1.4
BAS;03.08.1979 00:00;16.7;23.4;18.8;-1.8;1.2;-2.8
BAS;04.08.1979 00:00;13.6;23.9;19.5;-1;-1.9;-2.3
BAS;05.08.1979 00:00;10.2;26.5;19.1;-1.4;-5.3;0.3
BAS;06.08.1979 00:00;13.3;29;20.9;0.4;-2.1;2.9
BAS;07.08.1979 00:00;14.9;27.3;21.3;0.8;-0.5;1.2
BAS;08.08.1979 00:00;16.1;23.4;18.7;-1.7;0.7;-2.7
BAS;09.08.1979 00:00;11.4;21.4;15.4;-5;-4;-4.6
BAS;10.08.1979 00:00;12.2;16.8;13.7;-6.6;-3.2;-9.2
BAS;11.08.1979 00:00;9.8;15.4;12.7;-7.6;-5.5;-10.5
BAS;12.08.1979 00:00;13.3;22.7;17.1;-3.1;-2;-3.1
BAS;13.08.1979 00:00;11.6;25.1;18.4;-1.8;-3.6;-0.7
BAS;14.08.1979 00:00;11.9;29.3;21.4;1.3;-3.3;3.6
BAS;15.08.1979 00:00;14.8;24.2;18.4;-1.6;-0.3;-1.4
BAS;16.08.1979 00:00;12.2;15.1;13.3;-6.6;-2.8;-10.4
BAS;17.08.1979 00:00;10;22.2;15.2;-4.6;-5;-3.2
BAS;18.08.1979 00:00;12.8;15.1;13.7;-6;-2.1;-10.3
BAS;19.08.1979 00:00;13.1;20.5;15.3;-4.3;-1.7;-4.7
BAS;20.08.1979 00:00;12.1;19.3;14.8;-4.7;-2.6;-5.8
BAS;21.08.1979 00:00;11.4;21.6;16;-3.4;-3.2;-3.4
BAS;22.08.1979 00:00;13;21.2;16.3;-3;-1.5;-3.7
BAS;23.08.1979 00:00;14;18.5;15.4;-3.8;-0.4;-6.3
BAS;24.08.1979 00:00;9.6;17.5;11.7;-7.4;-4.7;-7.2
BAS;25.08.1979 00:00;9;18.4;12.2;-6.7;-5.2;-6.1
BAS;26.08.1979 00:00;10.4;13.1;11.6;-7.2;-3.6;-11.3
BAS;27.08.1979 00:00;10;16;12.5;-6.2;-3.9;-8.2
BAS;28.08.1979 00:00;8.7;18.3;12.9;-5.6;-5.1;-5.8
BAS;29.08.1979 00:00;5.1;20.3;12.7;-5.7;-8.5;-3.6
BAS;30.08.1979 00:00;7.7;23.5;14.9;-3.3;-5.8;-0.3
BAS;31.08.1979 00:00;11.3;25.5;17.8;-0.2;-2;1.9
BAS;01.09.1979 00:00;11.8;26.7;18.7;1;-1.2;3.5
BAS;02.09.1979 00:00;14;25.8;19.4;1.9;1.2;2.8
BAS;03.09.1979 00:00;15.5;21.4;17.5;0.2;2.8;-1.5
BAS;04.09.1979 00:00;14.2;20.8;16.6;-0.6;1.7;-1.9
BAS;05.09.1979 00:00;8.1;21.4;14.2;-2.8;-4.3;-1.1
BAS;06.09.1979 00:00;10.9;24.9;17.4;0.6;-1.3;2.6
BAS;07.09.1979 00:00;13.4;25.2;18.6;1.9;1.3;3.1
BAS;08.09.1979 00:00;13.9;25.6;19.3;2.8;2;3.6
BAS;09.09.1979 00:00;14.6;24.8;19;2.7;2.8;3
BAS;10.09.1979 00:00;15;19.7;17.2;1;3.4;-1.9
BAS;11.09.1979 00:00;14.5;21.1;17.9;1.9;3;-0.3
BAS;12.09.1979 00:00;13.8;23.1;17.7;1.8;2.4;1.8
BAS;13.09.1979 00:00;13.3;25.4;18.5;2.8;2.1;4.3
BAS;14.09.1979 00:00;14.4;19.5;17.1;1.5;3.3;-1.4
BAS;15.09.1979 00:00;11.3;16.8;13.3;-2.1;0.3;-4
BAS;16.09.1979 00:00;5.7;17.1;10.9;-4.4;-5.1;-3.5
BAS;17.09.1979 00:00;5.7;22.4;13.3;-1.8;-5;2
BAS;18.09.1979 00:00;10.9;24.8;17.2;2.2;0.3;4.6
BAS;19.09.1979 00:00;11.5;24.4;17;2.2;1;4.3
BAS;20.09.1979 00:00;14.6;20.5;16.7;2;4.2;0.6
BAS;21.09.1979 00:00;10;11.5;10.9;-3.6;-0.3;-8.3
BAS;22.09.1979 00:00;6.9;8.4;7.7;-6.7;-3.2;-11.2
BAS;23.09.1979 00:00;6.9;8.7;7.8;-6.5;-3.1;-10.7
BAS;24.09.1979 00:00;7.6;9.6;8.4;-5.7;-2.3;-9.7
BAS;25.09.1979 00:00;5.6;13.1;9.4;-4.6;-4.2;-6
BAS;26.09.1979 00:00;4.8;16.5;10;-3.9;-4.9;-2.5
BAS;27.09.1979 00:00;3.4;18.4;10.2;-3.6;-6.3;-0.4
BAS;28.09.1979 00:00;6;16.9;11;-2.6;-3.6;-1.7
BAS;29.09.1979 00:00;10.5;14.1;12.3;-1.2;1;-4.4
BAS;30.09.1979 00:00;10.2;16.6;13.2;-0.2;0.8;-1.7
BAS;01.10.1979 00:00;8.5;17.3;12.3;-0.9;-0.7;-0.7
BAS;02.10.1979 00:00;5.1;17.3;10.8;-2.3;-4;-0.6
BAS;03.10.1979 00:00;10.1;19.1;13.9;1;1;1.4
BAS;04.10.1979 00:00;10.8;21.1;15.1;2.3;1.8;3.5
BAS;05.10.1979 00:00;12;14.7;13;0.3;3.1;-2.7
BAS;06.10.1979 00:00;11.2;15.3;13;0.4;2.4;-1.9
BAS;07.10.1979 00:00;10.1;16.5;13;0.6;1.4;-0.6
BAS;08.10.1979 00:00;10.3;20.9;14.8;2.5;1.7;4
BAS;09.10.1979 00:00;11.7;22.3;16;3.8;3.2;5.5
BAS;10.10.1979 00:00;10.1;23.1;16.3;4.3;1.7;6.5
BAS;11.10.1979 00:00;12;18.8;15.4;3.5;3.7;2.4
BAS;12.10.1979 00:00;11;20.7;14.7;2.9;2.8;4.5
BAS;13.10.1979 00:00;10.7;18.6;14;2.4;2.6;2.5
BAS;14.10.1979 00:00;10.8;13.3;12.1;0.6;2.9;-2.6
BAS;15.10.1979 00:00;11.1;18.2;13.8;2.5;3.3;2.5
BAS;16.10.1979 00:00;9.3;16.4;13;1.8;1.6;0.9
BAS;17.10.1979 00:00;11.3;15;12.8;1.8;3.7;-0.3
BAS;18.10.1979 00:00;10;15.6;11.8;0.9;2.5;0.5
BAS;19.10.1979 00:00;5.9;14.1;8.8;-1.9;-1.4;-0.8
BAS;20.10.1979 00:00;1.3;17.6;8.8;-1.8;-5.9;2.9
BAS;21.10.1979 00:00;5.3;14.4;9.5;-0.9;-1.8;-0.1
BAS;22.10.1979 00:00;7.9;10;8.6;-1.7;1;-4.3
BAS;23.10.1979 00:00;5.6;8.5;6.9;-3.2;-1.2;-5.6
BAS;24.10.1979 00:00;6.6;12.1;8.9;-1;0;-1.8
BAS;25.10.1979 00:00;6.4;11.3;8;-1.8;-0.1;-2.4
BAS;26.10.1979 00:00;3.6;6.1;4.4;-5.2;-2.8;-7.4
BAS;27.10.1979 00:00;1.9;5;3.1;-6.3;-4.3;-8.3
BAS;28.10.1979 00:00;2.6;9.8;6.8;-2.4;-3.5;-3.3
BAS;29.10.1979 00:00;4;8.9;6.8;-2.3;-1.9;-4
BAS;30.10.1979 00:00;7.1;8.8;7.9;-1;1.4;-3.8
BAS;31.10.1979 00:00;4.8;11.2;7.2;-1.5;-0.8;-1.2
BAS;01.11.1979 00:00;5.1;10.6;8.2;-0.1;-0.1;-1.3
BAS;02.11.1979 00:00;7.3;12.1;8.9;0.8;2.2;0.4
BAS;03.11.1979 00:00;1.7;9;4.8;-3.1;-3.2;-2.5
BAS;04.11.1979 00:00;0.7;10.5;6;-1.8;-4.1;-0.8
BAS;05.11.1979 00:00;5.6;10.3;8.4;0.8;1;-0.8
BAS;06.11.1979 00:00;4.8;12.8;9.7;2.3;0.4;2
BAS;07.11.1979 00:00;9.6;12.5;10.7;3.5;5.3;1.9
BAS;08.11.1979 00:00;9.9;15.8;13.1;6;5.8;5.4
BAS;09.11.1979 00:00;7.2;10;8.7;1.8;3.2;-0.2
BAS;10.11.1979 00:00;2.4;6.3;4.7;-2;-1.4;-3.7
BAS;11.11.1979 00:00;0.2;5.7;2.5;-4.1;-3.5;-4.2
BAS;12.11.1979 00:00;-2.5;4;0.9;-5.5;-6.1;-5.7
BAS;13.11.1979 00:00;2.2;6.6;5.1;-1.2;-1.2;-2.9
BAS;14.11.1979 00:00;5.1;9.9;6.8;0.7;1.8;0.6
BAS;15.11.1979 00:00;1.6;4.2;3.5;-2.5;-1.6;-4.9
BAS;16.11.1979 00:00;1.5;6.4;3.4;-2.4;-1.5;-2.6
BAS;17.11.1979 00:00;-1.4;3.3;0.8;-4.9;-4.3;-5.5
BAS;18.11.1979 00:00;-3;4.5;0.7;-4.8;-5.8;-4.1
BAS;19.11.1979 00:00;0.7;5.5;3;-2.4;-2;-3
BAS;20.11.1979 00:00;0.9;5.1;3.5;-1.8;-1.6;-3.2
BAS;21.11.1979 00:00;3.4;4.9;4;-1.1;1;-3.3
BAS;22.11.1979 00:00;-0.1;4.2;2.3;-2.7;-2.4;-3.8
BAS;23.11.1979 00:00;0.6;3.7;1.6;-3.3;-1.6;-4.2
BAS;24.11.1979 00:00;-1.9;3.2;1.1;-3.7;-4;-4.5
BAS;25.11.1979 00:00;0.9;5.5;2.6;-2;-1.1;-2.1
BAS;26.11.1979 00:00;-0.1;11.9;3.2;-1.3;-2;4.4
BAS;27.11.1979 00:00;3.4;11.5;9.4;5;1.6;4.1
BAS;28.11.1979 00:00;6.5;8.6;7.2;2.9;4.8;1.4
BAS;29.11.1979 00:00;0.8;7.9;4.5;0.3;-0.8;0.8
BAS;30.11.1979 00:00;-0.9;8.7;2.7;-1.4;-2.4;1.7
BAS;01.12.1979 00:00;1.1;10.1;6.5;2.6;-0.2;3.3
BAS;02.12.1979 00:00;1.9;10.5;6.2;2.4;0.6;3.8
BAS;03.12.1979 00:00;1.9;9.8;5.5;1.8;0.7;3.2
BAS;04.12.1979 00:00;3.3;11.9;7.1;3.5;2.2;5.4
BAS;05.12.1979 00:00;2;12;5.2;1.7;1;5.6
BAS;06.12.1979 00:00;3.6;12.5;8.9;5.4;2.7;6.2
BAS;07.12.1979 00:00;5.3;14.1;9.1;5.7;4.4;7.9
BAS;08.12.1979 00:00;2.9;9.4;6.4;3.1;2.1;3.3
BAS;09.12.1979 00:00;6.3;11.7;9.9;6.7;5.6;5.6
BAS;10.12.1979 00:00;9.4;15.2;12.1;8.9;8.7;9.2
BAS;11.12.1979 00:00;6;12.4;10;6.9;5.4;6.5
BAS;12.12.1979 00:00;5.1;6;5.8;2.8;4.6;0.2
BAS;13.12.1979 00:00;-0.6;12.3;2.9;-0.1;-1.1;6.5
BAS;14.12.1979 00:00;4.3;9.8;8;5.1;3.9;4.1
BAS;15.12.1979 00:00;3;11;7.1;4.3;2.6;5.4
BAS;16.12.1979 00:00;1.4;5.1;3.5;0.7;1.1;-0.5
BAS;17.12.1979 00:00;0.8;13.8;9.1;6.4;0.5;8.3
BAS;18.12.1979 00:00;1.6;7;4.7;2;1.4;1.5
BAS;19.12.1979 00:00;2.1;3.3;2.7;0.1;1.9;-2.1
BAS;20.12.1979 00:00;-0.4;1.4;0.6;-2;-0.5;-4
